Table 1
Grant Activity,,,,,,,,,,,,,,,,,,,
Beloved In Christ,,,,,,,,,,,,,,,,,,,
Transaction ID,Charity,Charity Address,Grant Status,Contact Person,Grant Letter,Grant Type,Amount,Foreign Currency Amount,Currency,Recommendation Submitted Date,Requested Payment Date,Sent Date,Recommended By,Recognition,Grant Purpose,Special Note,Cleared Date,Check Number / Payment ID,EIN
11378256,Beloved in Christ Gallery,"PO Box 1149 Marble Falls, TX 78654",Payment Cleared,,Yes,Single,"500,000.00 ",0.00 ,USD,9/25/25,9/25/25,10/2/25,Beloved In Christ and Mr. Lewis Karl Cirne,None,General support,The grantee is a Private Operating Foundation that has signed an affidavit prepared by legal.,10/2/25,561426,87-4045476
11454462,Zinduka Arise Afrika Mission Inc,"1601 W Memorial Rd Oklahoma City, OK 73134",Payment Cleared,Bishop Gibson Anduvate,Yes,Single,"100,000.00 ",0.00 ,USD,10/7/25,10/7/25,10/14/25,Beloved In Christ,None,"ICC Nairobi Ministry's Dream Centre in Nairobi, Kenya.",ICC - International Christian Centre,10/14/25,563281,87-3930135
11532209,Christian Life Church of Austin,"4700 West Gate Blvd Attn: Financial , Austin, TX 78745",Payment Cleared,,Yes,Single,"5,000.00 ",0.00 ,USD,10/19/25,10/19/25,10/23/25,Beloved In Christ and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support,,10/23/25,565313,74-2453636
11136899,Jesus Image Inc,"P.O. Box 950640 Lake Mary, FL 32795",Reversed,"Kaylee Wheeler, JesusImage Partners",Yes,Single,"5,000.00 ",0.00 ,USD,7/16/25,7/16/25,9/26/25,Beloved In Christ,None,Jesus School scholarship fund,,,193658,26-3838368
10561374,"Mountain Metro Church, Inc.","855 W Lake Blvd Tahoe City, CA 96145",Payment Cleared,,Yes,Single,"25,000.00 ",0.00 ,USD,4/7/25,4/7/25,4/10/25,Beloved In Christ,None,Where needed most / Unrestricted / General support,,4/10/25,535430,82-5259273
11027105,Highland Lakes Crisis Network,"1000 Ridge Point Dr Marble Falls, TX 78654",Payment Cleared,Kevin Naumann,Yes,Single,"100,000.00 ",0.00 ,USD,7/7/25,7/7/25,7/14/25,Beloved In Christ,None,"At the discretion of the charity, to support Hill Country Flood Disaster Relief. Recommended by the Beloved in Christ Fund.",,7/14/25,549629,83-2515465
11201598,Christian Life Church of Austin,"4700 West Gate Blvd Attn: Financial , Austin, TX 78745",Payment Cleared,,Yes,Single,"5,000.00 ",0.00 ,USD,8/10/25,8/10/25,8/13/25,Beloved In Christ and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support,,8/21/25,190820,74-2453636
11665829,"Mountain Metro Church, Inc.","P.O. Box 1149 Marble Falls, TX 78654",Payment Cleared,,Yes,Single,"150,000.00 ",0.00 ,USD,11/11/25,11/11/25,11/19/25,Beloved In Christ and Mr. Lewis Karl Cirne,None,General support. Recommended by Beloved in Christ Fund,,11/19/25,570926,82-5259273
11347182,Volunteers for Ukraine Inc.,"1000 Northbrook Dr., Ste 100 Trevose, PA 19053",Payment Cleared,Daniel Rebar,Yes,Single,"55,000.00 ",0.00 ,USD,9/15/25,9/15/25,9/25/25,Beloved In Christ,None,Funding for EuroShield Overland in Ukraine,EuroShield Overland is a program that supports overland journeys to Ukrainian veterans and their families free of cost to them.,9/25/25,559340,88-1037764
11184355,Modern Day Missions,"P.O. Box 535578 Grand Prairie, TX 75053-5578",Payment Cleared,Ms Revee,Yes,Single,"5,000.00 ",0.00 ,USD,8/4/25,8/4/25,8/7/25,Beloved In Christ,None,"At the discretion of the charity, for Circuit Riders Staff Support",,8/11/25,553479,26-2978592
