Table 1
Grant Activity,,,,,,,,,,,,,,,,,,,
Beloved In Christ,,,,,,,,,,,,,,,,,,,
Transaction ID,Charity,Charity Address,Grant Status,Contact Person,Grant Letter,Grant Type,Amount,Foreign Currency Amount,Currency,Recommendation Submitted Date,Requested Payment Date,Sent Date,Recommended By,Recognition,Grant Purpose,Special Note,Cleared Date,Check Number / Payment ID,EIN
8723218,Beloved in Christ Gallery,"511 N. Highway 281 Marble Falls, TX 78654",Payment Cleared,,Yes,Single,"500,000.00",0.00,USD,1/30/24,1/31/24,2/15/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support. Recommended by the Beloved in Christ Fund.,The grantee is a Private Operating Foundation that has signed an affidavit prepared by Legal.,2/15/24,469501,87-4045476
8398746,CHAMPION MINISTRIES INC.,"P.O. BOX 1323  , CASTLE ROCK, CO 80104-1323",Payment Cleared,,Yes,Single,"200,000.00",0.00,USD,11/16/23,11/17/23,11/24/23,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most. Recommended by the Beloved in Christ Fund.,,11/24/23,451894,84-1341326
9925687,He Touched Me Ministries,"736 Pheasant Rd. Fort Worth, TX 76131",Payment Cleared,,Yes,Single,"150,000.00",0.00,USD,12/9/24,12/9/24,12/16/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support,,12/16/24,512743,30-0642828
9909058,Bright City Ministries,"PO Box 3032 Marble Falls, TX 78654",Payment Cleared,,Yes,Single,"20,000.00",0.00,USD,12/4/24,12/4/24,12/12/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,General support. Recommended by the Beloved in Christ Fund.,,12/12/24,511576,85-3966985
8338505,America Prays Inc.,"14125 W State Hwy 29 Suite B-203 #321 Liberty Hill, TX 78642",Payment Cleared,,Yes,Single,"300,000.00",0.00,USD,10/27/23,10/28/23,11/2/23,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Unrestricted gift. Recommended by the Beloved in Christ Fund.,,11/2/23,448416,82-2988585
3170217,Young Life,"420 N Cascade Ave  , Colorado Springs, CO 80903-3325",Payment Cleared,Brett Rodgers,No,Single,"400,000.00",0.00,USD,10/4/18,10/4/18,10/12/18,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Donation for LAC University Initiatives-XD227. Please see the enclosed letter for further details regarding the allocation of this gift.,"The enclosed grant letter will contain the following information, which did not fit on the grant letter:",,,
Gift to be allocated to LAC University Initiatives-XD227 as follows and at the discretion of the charity: $150,000.00 for Haiti Camp infrastructure &amp; bathrooms; $150,000.00 for Dominican Republic dorms; $75,000.00 for Latin America staffing; $25,"000.00 for Paraguay work."",10/12/18,295158,84-0385934",,,,,,,,,,,,,,,
6680156,Austin Disaster Relief Network,"P.O. Box 15424  , Austin, TX 78761-5424",Payment Cleared,,Yes,Single,"100,000.00",0.00,USD,5/31/22,6/1/22,6/7/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Light of Hope,Light of Hope is an annual fundraising campaign to help ADRN's pre-disaster preparations and operations.,6/7/22,394604,26-4789907
6680157,Austin Disaster Relief Network,"P.O. Box 15424  , Austin, TX 78761-5424",Payment Cleared,,Yes,Single,"250,000.00",0.00,USD,5/31/22,6/1/22,6/7/22,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,United Disaster Relief Network (UDRN),United Disaster Relief Network (UDRN) is a national division of ADRN.,6/7/22,394603,26-4789907
9836838,Basil Technologies,"301 Tulane Rd San Mateo, CA 94402",Payment Cleared,,Yes,Single,"100,000.00",0.00,USD,11/18/24,11/18/24,11/27/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,General support. Recommended by the Beloved in Christ Fund.,,12/9/24,168070,82-1148094
9836842,Africa New Life Ministries International,"7405 SW Tech Center Drive, #144  , Portland, OR 97223",Payment Cleared,,Yes,Single,"100,000.00",0.00,USD,11/18/24,11/18/24,11/21/24,Beloved In Christ Fund and Mr. Lewis Karl Cirne,None,Where needed most / Unrestricted / General support,,11/21/24,504579,48-1291935
3721678,Young Life,"P.O. Box 70065  , Prescott, AZ 86304-7065",Payment Cleared,Brett Rodgers,No,Single,"400,000.00",0.00,USD,7/7/19,7/7/19,7/15/19,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,YL Central/Latin America donation to support Budget XD227.,Budget XD227 will support the LA (Latin America) /Caribbean University Programs.,7/23/19,25572,84-0385934
3721679,Freedom Generation Church,"P.O. Box 1044 , Spanaway, WA 98387",Payment Cleared,Dean Braxton,No,Single,"25,000.00",0.00,USD,7/7/19,7/7/19,7/17/19,Beloved In Christ Fund and Mr. Lewis Karl Cirne,null,Donation for Dean Braxton Ministries.,Dean Braxton Ministries is fiscally sponsored by Freedom Generation Church.,7/17/19,310186,75-3094503
